"scenario","replicate","item","intervals","chisq","chisq_p_boot","chisq_p_boot_adj","n_boot_chisq","fit_resid","fit_resid_p_boot","fit_resid_p_boot_adj","n_boot_fit_resid","infit_ms","infit_ms_p_boot","infit_ms_p_boot_adj","n_boot_infit_ms","outfit_ms","outfit_ms_p_boot","outfit_ms_p_boot_adj","n_boot_outfit_ms","infit_z","infit_z_p_boot","infit_z_p_boot_adj","n_boot_infit_z","outfit_z","outfit_z_p_boot","outfit_z_p_boot_adj","n_boot_outfit_z","n_boot","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",2,"I06",7,4.66719611542701,0.680532445923461,1,600,-1.04206433035702,0.139767054908486,1,600,1.00001630979401,0.219633943427621,1,600,0.894438981493699,0.146422628951747,1,600,0.017185015875282,0.219633943427621,1,600,-1.14349898616282,0.136439267886855,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I07",7,6.37043527784151,0.490848585690516,1,600,1.06084060562986,0.232945091514143,1,600,1.10641165370583,0.359400998336107,1,600,1.10624650238079,0.242928452579035,1,600,2.08797574301462,0.362728785357737,1,600,1.21383708136634,0.236272878535774,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I08",7,2.74946400885627,0.891846921797005,1,600,0.353756688491708,0.792013311148086,1,600,1.03996935495307,0.698835274542429,1,600,1.03145673795261,0.805324459234609,1,600,0.794677062657957,0.698835274542429,1,600,0.398861258936058,0.795341098169717,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I09",7,0.784857773546046,0.996672212978369,1,600,0.778804970187919,0.495840266222962,1,600,1.13857903127509,0.139767054908486,1,600,1.07321764204056,0.505823627287854,1,600,2.64474748986191,0.146422628951747,1,600,0.884038028374013,0.495840266222962,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I10",7,5.83934864875124,0.537437603993344,1,600,-0.295260781587408,0.59234608985025,1,600,1.05374969707843,0.935108153078203,1,600,0.968556657044901,0.599001663893511,1,600,1.03525424808973,0.935108153078203,1,600,-0.338292602866325,0.582362728785358,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I11",3,2.9322894575743,0.312811980033278,1,600,0.20478955868682,0.981697171381032,1,600,1.10549055657996,0.469217970049917,1,600,1.02809214328721,0.991680532445923,1,600,1.51983082276016,0.469217970049917,1,600,0.320678937011139,0.991680532445923,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I12",3,0.927567813730283,0.707154742096506,1,600,0.179570507517114,0.825291181364393,1,600,1.0882071645168,0.575707154742097,1,600,1.02267934437581,0.828618968386023,1,600,1.14116640421716,0.582362728785358,1,600,0.231042680492453,0.828618968386023,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I13",3,2.27213365610115,0.389351081530782,1,600,0.421797547149319,0.575707154742097,1,600,1.01142535851627,0.622296173044925,1,600,1.05761952749162,0.575707154742097,1,600,0.168086240956944,0.622296173044925,1,600,0.484995788978874,0.582362728785358,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I14",3,2.78106704751364,0.282861896838602,1,600,-0.537443397236336,0.475873544093178,1,600,0.986029521723487,0.405990016638935,1,600,0.901401680022732,0.525790349417637,1,600,-0.126522565103301,0.392678868552413,1,600,-0.611396855454874,0.479201331114809,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I15",3,0.987350793998151,0.760399334442596,1,600,0.696622655631008,0.226289517470882,1,600,1.00497641405628,0.712146422628952,1,600,1.15130830376776,0.212978369384359,1,600,0.0816378027715161,0.715474209650582,1,600,0.735888423326151,0.226289517470882,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
