"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","item-wise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.0482804308182932,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 10 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","Holm familywise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.0462493243193887,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 10 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.102666666666667,0.00736540278933598,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 2 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.04,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 2 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0973333333333333,0.00679472958758111,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 3 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.0336303434416005,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 3 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.092,0.00641126953920806,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 4 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.03,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 4 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.088,0.00641826797982372,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 5 intervals; ties may reduce the realised count"
"item-fit-interval-count","15 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.0375632799419859,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 5 intervals; ties may reduce the realised count"
