"scenario","replicate","B","seed","status","message","warnings","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","same_data_max_error","imposed_count_max_error","min_intervals","max_intervals","total","chisq_marginal","chisq_familywise","fit_resid_marginal","fit_resid_familywise","infit_z_marginal","infit_z_familywise","outfit_z_marginal","outfit_z_familywise","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",31,600,6000031,"ok","","",600,600,0,0,0,9.46901484333431,3,7,0,0,0,0.2,0,0.133333333333333,0,0.2,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",32,600,6000032,"ok","","",600,600,0,0,0,4.8818969538287,3,7,0,0,0,0.133333333333333,1,0.0666666666666667,1,0.133333333333333,1,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",33,600,6000033,"ok","","",600,600,0,0,0,6.02361289820046,3,7,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",34,600,6000034,"ok","","",600,600,0,0,0,5.71524140300361,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",35,600,6000035,"ok","","",600,600,0,0,0,11.2967339612373,3,7,0,0.133333333333333,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",36,600,6000036,"ok","","",600,600,0,0,0,7.31297613081677,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",37,600,6000037,"ok","","",600,600,0,0,0,8.93707563980872,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.2,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",38,600,6000038,"ok","","",600,600,0,0,0,4.41635839621422,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",39,600,6000039,"ok","","",600,600,0,0,0,7.88772163725832,3,7,0,0.0666666666666667,0,0.2,0,0.133333333333333,1,0.2,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",40,600,6000040,"ok","","",600,600,0,0,0,10.6469026143718,3,7,0,0,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",41,600,6000041,"ok","","",600,600,0,0,0,5.19920348155209,3,7,0,0.133333333333333,1,0.266666666666667,1,0.2,1,0.266666666666667,1,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",42,600,6000042,"ok","","",600,600,0,0,0,13.013637328627,3,7,0,0,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",43,600,6000043,"ok","","",600,600,0,0,0,7.78305158045053,3,7,0,0.133333333333333,0,0.133333333333333,0,0.0666666666666667,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",44,600,6000044,"ok","","",600,600,0,0,0,5.21183592772802,3,7,0,0.133333333333333,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",45,600,6000045,"ok","","",600,600,0,0,0,6.27423580038771,3,7,0,0.133333333333333,1,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",46,600,6000046,"ok","","",600,600,0,0,0,6.1705446253419,3,7,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",47,600,6000047,"ok","","",600,600,0,0,0,7.019994434001,3,7,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",48,600,6000048,"ok","","",600,600,0,0,0,10.4747260458902,3,7,0,0.0666666666666667,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",49,600,6000049,"ok","","",600,600,0,0,0,11.803439604313,3,7,0,0,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",50,600,6000050,"ok","","",600,600,0,0,0,8.70900315315619,3,7,0,0,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",51,600,6000051,"ok","","",600,600,0,0,0,9.6489738416055,3,7,0,0.133333333333333,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",52,600,6000052,"ok","","",600,600,0,0,0,7.03621899729632,3,7,0,0.2,0,0.133333333333333,0,0.133333333333333,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",53,600,6000053,"ok","","",600,600,0,0,0,13.6657083024553,3,7,0,0.0666666666666667,1,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",54,600,6000054,"ok","","",600,600,0,0,0,12.802580433727,3,7,0,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",55,600,6000055,"ok","","",600,600,0,0,0,10.8739932634948,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",56,600,6000056,"ok","","",600,600,0,0,0,10.9228567537305,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",57,600,6000057,"ok","","",600,600,0,0,0,6.39939190836204,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",58,600,6000058,"ok","","",600,600,0,0,0,6.63898566221131,3,7,0,0.0666666666666667,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",59,600,6000059,"ok","","",600,600,0,0,0,4.9614901173792,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,1,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",60,600,6000060,"ok","","",600,600,0,0,0,9.76636530902169,3,7,0,0.133333333333333,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
